message_id,sampling_stratum,urgency_label,label_version,review_status
arnold-j/_sent_mail/794.,general_random,nonurgent,1.0,Reviewed
bass-e/notes_inbox/48.,general_random,nonurgent,1.0,Reviewed
baughman-d/all_documents/269.,general_random,nonurgent,1.0,Reviewed
baughman-d/inbox/129.,general_random,nonurgent,1.0,Reviewed
beck-s/all_documents/1960.,general_random,nonurgent,1.0,Reviewed
beck-s/personal/26.,general_random,nonurgent,1.0,Reviewed
benson-r/inbox/large_messages/11.,general_random,nonurgent,1.0,Reviewed
blair-l/meetings/704.,general_random,nonurgent,1.0,Reviewed
buy-r/sent_items/163.,general_random,nonurgent,1.0,Reviewed
campbell-l/all_documents/1827.,general_random,nonurgent,1.0,Reviewed
campbell-l/inbox/580.,general_random,nonurgent,1.0,Reviewed
campbell-l/sent/162.,general_random,nonurgent,1.0,Reviewed
carson-m/amerex/20.,general_random,nonurgent,1.0,Reviewed
carson-m/sent_items/54.,general_random,nonurgent,1.0,Reviewed
cash-m/deleted_items/183.,general_random,urgent,1.0,Reviewed
cash-m/sent/129.,general_random,nonurgent,1.0,Reviewed
dasovich-j/all_documents/1389.,general_random,nonurgent,1.0,Reviewed
dasovich-j/all_documents/905.,general_random,nonurgent,1.0,Reviewed
dasovich-j/all_documents/9918.,general_random,nonurgent,1.0,Reviewed
dasovich-j/notes_inbox/12627.,general_random,nonurgent,1.0,Reviewed
dasovich-j/notes_inbox/12651.,general_random,urgent,1.0,Reviewed
dasovich-j/sent/115.,general_random,nonurgent,1.0,Reviewed
dasovich-j/sent/589.,general_random,nonurgent,1.0,Reviewed
davis-d/performance_review/3.,general_random,urgent,1.0,Reviewed
donoho-l/inbox/junk_file/208.,general_random,nonurgent,1.0,Reviewed
dorland-c/sent/333.,general_random,nonurgent,1.0,Reviewed
farmer-d/all_documents/1506.,general_random,nonurgent,1.0,Reviewed
farmer-d/all_documents/601.,general_random,urgent,1.0,Reviewed
farmer-d/cornhusker/39.,general_random,nonurgent,1.0,Reviewed
farmer-d/sent/394.,general_random,urgent,1.0,Reviewed
fossum-d/discussion_threads/14.,general_random,nonurgent,1.0,Reviewed
fossum-d/discussion_threads/284.,general_random,nonurgent,1.0,Reviewed
gay-r/inbox/84.,general_random,nonurgent,1.0,Reviewed
germany-c/_sent_mail/1843.,general_random,nonurgent,1.0,Reviewed
germany-c/all_documents/323.,general_random,nonurgent,1.0,Reviewed
griffith-j/producer_services/9.,general_random,nonurgent,1.0,Reviewed
griffith-j/skew/10.,general_random,nonurgent,1.0,Reviewed
grigsby-m/_sent_mail/179.,general_random,nonurgent,1.0,Reviewed
guzman-m/discussion_threads/367.,general_random,urgent,1.0,Reviewed
hain-m/all_documents/1069.,general_random,urgent,1.0,Reviewed
hayslett-r/all_documents/440.,general_random,nonurgent,1.0,Reviewed
