message_id,feature,shap_value
mann-k/all_documents/4890.,need,0.002943412664983625
mann-k/all_documents/4890.,doc,0.0030272472473071147
mann-k/all_documents/4890.,agreements,0.003065896389063274
mann-k/all_documents/4890.,19,0.0036776076151232525
mann-k/all_documents/4890.,agreement,0.0037898023509167033
mann-k/all_documents/4890.,sale,0.005061925541418242
mann-k/all_documents/4890.,letter,0.00557210974598504
mann-k/all_documents/4890.,kslaw,0.005907894239955062
mann-k/all_documents/4890.,mann,0.006245953047391144
mann-k/all_documents/4890.,kay,0.008032052723778054
mann-k/all_documents/4890.,tomorrow,0.008747377002305538
mann-k/all_documents/4890.,ena,0.011813358746059231
