feature,mean_abs_shap,coefficient
meeting,0.003961625743870866,0.113644845705746
00,0.0029253233472747303,0.11655049319885238
10,0.0027360285227519105,0.08162133294015878
thanks,0.0026298921660607563,0.07174284798452388
need,0.0026147266938311626,0.06857893122032575
2000,0.0022838584246780563,-0.05410950881887945
today,0.0015948476783114386,0.0686360509933298
tomorrow,0.0015837298200140546,0.07570504861026793
send,0.0015279715517684167,0.06110305470693949
ect,0.0015217393531639877,0.02456546209303536
com,0.001517287665926459,-0.03323376874396282
vince,0.0015082229178903382,-0.04522254720373187
morning,0.0014139154443166932,0.10439953518165417
gas,0.0013909950542241476,0.05640753216255027
2001,0.0013256783089541243,0.034715414635501596
kaminski,0.0011696007995098533,-0.03705410369221423
mike,0.0011427251742016174,-0.049649885811664574
monday,0.0011297731951305067,0.0644488623491313
request,0.0011052187171583894,-0.03834712388266375
sent,0.0010951082446029946,0.036548114394999644
