message_id,strategy,outer_fold,sampling_stratum,true_label,evaluated_threshold,urgent_probability,probability_band,predicted_label,error_type,diagnostic_pattern
griffith-j/discussion_threads/70.,default_0.50,1,urgency_enriched,urgent,0.5,0.47192519784176623,0.45_to_below_0.475,nonurgent,false_negative,default_threshold_missed_urgent
cash-m/deleted_items/183.,default_0.50,5,general_random,urgent,0.5,0.4890912575983504,0.475_to_below_0.50,nonurgent,false_negative,default_threshold_missed_urgent
dasovich-j/notes_inbox/12651.,default_0.50,4,general_random,urgent,0.5,0.4893618641718987,0.475_to_below_0.50,nonurgent,false_negative,default_threshold_missed_urgent
farmer-d/all_documents/601.,default_0.50,2,general_random,urgent,0.5,0.4982660670149188,0.475_to_below_0.50,nonurgent,false_negative,default_threshold_missed_urgent
farmer-d/sent/394.,default_0.50,4,general_random,urgent,0.5,0.4831130704181509,0.475_to_below_0.50,nonurgent,false_negative,default_threshold_missed_urgent
hain-m/all_documents/1069.,default_0.50,3,general_random,urgent,0.5,0.4936778889874308,0.475_to_below_0.50,nonurgent,false_negative,default_threshold_missed_urgent
kean-s/cuiba/1.,default_0.50,5,general_random,urgent,0.5,0.49509231511548646,0.475_to_below_0.50,nonurgent,false_negative,default_threshold_missed_urgent
kean-s/discussion_threads/3480.,default_0.50,3,urgency_enriched,urgent,0.5,0.4801296087308166,0.475_to_below_0.50,nonurgent,false_negative,default_threshold_missed_urgent
linder-e/all_documents/342.,default_0.50,4,general_random,urgent,0.5,0.48896481850446655,0.475_to_below_0.50,nonurgent,false_negative,default_threshold_missed_urgent
lokay-m/tw_commercial_group/1223.,default_0.50,1,general_random,urgent,0.5,0.4787443939585363,0.475_to_below_0.50,nonurgent,false_negative,default_threshold_missed_urgent
love-p/_sent_mail/688.,default_0.50,3,general_random,urgent,0.5,0.4815074014734376,0.475_to_below_0.50,nonurgent,false_negative,default_threshold_missed_urgent
mann-k/_sent_mail/739.,default_0.50,4,urgency_enriched,urgent,0.5,0.490761029591896,0.475_to_below_0.50,nonurgent,false_negative,default_threshold_missed_urgent
nemec-g/all_documents/4451.,default_0.50,1,general_random,urgent,0.5,0.484508908562652,0.475_to_below_0.50,nonurgent,false_negative,default_threshold_missed_urgent
nemec-g/notes_inbox/1636.,default_0.50,2,general_random,urgent,0.5,0.48416632144169397,0.475_to_below_0.50,nonurgent,false_negative,default_threshold_missed_urgent
nemec-g/sent_items/616.,default_0.50,2,general_random,urgent,0.5,0.48749615441622696,0.475_to_below_0.50,nonurgent,false_negative,default_threshold_missed_urgent
rapp-b/inbox/215.,default_0.50,3,urgency_enriched,urgent,0.5,0.4920167071256418,0.475_to_below_0.50,nonurgent,false_negative,default_threshold_missed_urgent
sager-e/all_documents/3094.,default_0.50,4,general_random,urgent,0.5,0.4830856016599912,0.475_to_below_0.50,nonurgent,false_negative,default_threshold_missed_urgent
semperger-c/deleted_items/347.,default_0.50,2,general_random,urgent,0.5,0.4956205133807616,0.475_to_below_0.50,nonurgent,false_negative,default_threshold_missed_urgent
