outer_fold,strategy,threshold,outer_train_records,outer_validation_records,fit_seconds,score_seconds,accuracy,urgent_precision,urgent_recall,urgent_f1,true_negatives,false_positives,urgent_false_negatives,true_positives,urgent_support,total_support
1,default_0.50,0.5,127,32,0.0190754579998611,0.007419749999826308,0.90625,1.0,0.4,0.5714285714285714,27,0,3,2,5,32
1,nested_selected_threshold,0.45,127,32,0.0190754579998611,0.007419749999826308,0.15625,0.15625,1.0,0.2702702702702703,0,27,0,5,5,32
2,default_0.50,0.5,127,32,0.023110291000193683,0.003512874998705229,0.84375,0.0,0.0,0.0,27,0,5,0,5,32
2,nested_selected_threshold,0.45,127,32,0.023110291000193683,0.003512874998705229,0.15625,0.15625,1.0,0.2702702702702703,0,27,0,5,5,32
3,default_0.50,0.5,127,32,0.022289667002041824,0.004123667000385467,0.84375,0.0,0.0,0.0,27,0,5,0,5,32
3,nested_selected_threshold,0.45,127,32,0.022289667002041824,0.004123667000385467,0.15625,0.15625,1.0,0.2702702702702703,0,27,0,5,5,32
4,default_0.50,0.5,127,32,0.0241939170009573,0.003994374998001149,0.84375,0.0,0.0,0.0,27,0,5,0,5,32
4,nested_selected_threshold,0.45,127,32,0.0241939170009573,0.003994374998001149,0.15625,0.15625,1.0,0.2702702702702703,0,27,0,5,5,32
5,default_0.50,0.5,128,31,0.02203699999881792,0.004015708000224549,0.8709677419354839,0.0,0.0,0.0,27,0,4,0,4,31
5,nested_selected_threshold,0.45,128,31,0.02203699999881792,0.004015708000224549,0.12903225806451613,0.12903225806451613,1.0,0.22857142857142856,0,27,0,4,4,31
